,Target Tweets
0,"Mesela ben gnlk hayatta fermuar hemcinsimi grsem gidip sessizce uyarrm ama adama diyeceksin Bira 
"
1,"Kendisinin katld aktivitelerinden imam olduunu anlyoruz ... Eer deilse zaten parasz kadar sevap 
"
2,"Hayatnda ilk kez duyabilen insanlarn tepkileriymi ... yam 
"
3,"b.k kafaly neden kadar ciddiye alyoruz gerekten anlamyorum ben ... Mevcut iklim azck deitii anda 
"
4,"Ziraat Halk bankas falan faizle kredi veriyor kanka bavursana sen zorda kaldysan 
"
5,"Karm ocuumla ben baa kamyorum eneleriyle boarlar lan seni ... 
"
6,"Btn takipilerimi seviyorum ama ben siz gitmeyin AVM falan emi 
"
7,"Salgnla ilgili fikrimizi soran sevmiyorsak AVM gidilir bence bir olmaz seviyorsak tam tersini syle 
"
8,"Sen olmasan 
"
9,"Yani neden mesela niye byle bir var ebemizin eyini gryoruz her seferinde ... gzel yzn ... 
"
10,"Hala anlayamadnz kapitalizm zaman isterse retim ilikileri zaman deimesi gerekirse zaman deiir 
"
11,"Corona virs sonras hayat yle deiecek byle deiecek efendim artk evden alacaz insan ilikileri 
"
12,"Bizden uzak iler bizden geti 
"
13,"stanbul semeni bugne kadar AKAPE verirken akllyd mamolu gelince birden aptallat kandrld 
"
14,"Dakika instagramda paylam yapp sonra birden hesab kapatan aradan saat gemeden tekrar hesab aan 
"
15,"Gmrjfkdkfjskdkjf Akyor akam akyor maallah dnjdnxjdndkksdkk 
"
16,"Bence sen evde yalnzken fazla ime sevgili Beren ... yaramyor sana bak sonra byle sama salak konuuyorsun 
"
17,"Kftesi halay ile mehur olmayan bir Trkiye ehri var zatendfmmsxmdnndxm 
"
18,"Yani mesela halay ubuu diye bir icat etmek yerine halay braksak myz mesela halay ekmesek Gerdek 
"
19,"Yemesi kolay olsun diye simitleri minik minik paralayp attmz martya bak sen 
"
20,"abuk Annelerimizi bir deil her hatrlayalm tayfa uyanmadan anneler tweetlerimizi atp mevzuy 
"
21,"Lan hani sizin aile kiiyi gtrrd fndndnndnznsnsnx 
"
22,"Adam okuduunu anlam uygulam Nesi haber bunun 
"
