,Target Tweets
0,"May know both the price please 
"
1,"Comfort plus very expensive run nothing special.its different tariff and Scottish power charge 
"
2,"your staff Peshawar Airport Adnan demand bribe for let extra under the counter and money 
"
3,"travel 112 kilometers with Fitbit and just earn the Penguin March badge for Fitstats 
"
4,"Muswell Hill bus still not here Any update 
"
5,"Worst customer service rude disrespectful They will take your money and will disappear .keep 
"
6,"all the Kingsbury route bus very late 
"
7,"welcome the Twitter world regard Arif 
"
8,"lala sanga yee hope all well Arif from PPS 
"
9,"what be your charge 
"
10,"http //t.co/fMG970qNqH 
"
11,"http //t.co/hbIgjtrxf1 
"
12,"lala chata yee 
"
13,"http //t.co/8rXhCdTrmG 
"
14,"Courier Services and Parcel Delivery and International Parcelforce Worldwide http //t.co/YhCp2hnQtq 
"
15,"Gearing for Christmas Royal Mail Parcels http //t.co/E9602M3VIR 
"
16,"http //t.co/RrA7RXt6Dy http //t.co/Tfd1zR9snb 
"
17,"http //t.co/f0GJaUJT5c 
"
18,"belated congrats hope meet you soon inshallah Kingsbury 
"
19,"Salam can you follow plz 
"
20,"Why not sell those stickers say 50.00 each could generate good income 
"
21,"Pursuit Excellence the most thrill thing because excellence control and control power and power everything 
"
22,"Royal Mail try Sunday parcel run http //t.co/cfgrw9rw1Z 
"
23,"you have more followers than who party head ASP LOL 
"
24,"http //t.co/GqkEpGY3Dg 
"
25,"how you know 
"
26,"post new photo Facebook http //t.co/aVU3OZ3vKa 
"
27,"post new photo Facebook http //t.co/cqq9ZBDnuk 
"
28,"post new photo Facebook http //t.co/4CrVPzMJbw 
"
29,"post new photo Facebook http //t.co/AYANakizLT 
"
30,"post new photo Facebook http //t.co/QleCSmZm79 
"
31,"post new photo Facebook http //t.co/HCIvTVgEBT 
"
32,"post new photo Facebook http //t.co/YpDsiOKQBW 
"
33,"post new photo Facebook http //t.co/XSDChahdSv 
"
34,"post new photo Facebook http //t.co/ewe4OLUQt7 
"
35,"post new photo Facebook http //t.co/fID8u7enq3 
"
36,"post new photo Facebook http //t.co/XhbfhWCB6b 
"
37,"post new photo Facebook http //t.co/CacDyUQ00E 
"
38,"post new photo Facebook http //t.co/p4Mmn3zeAf 
"
39,"post new photo Facebook http //t.co/M8y3T8lGxq 
"
40,"post new photo Facebook http //t.co/BalCIcKYP2 
"
41,"post new photo Facebook http //t.co/8K8cEFMNIf 
"
42,"post new photo Facebook http //t.co/KupUShTU0P 
"
43,"post new photo Facebook http //t.co/ubiGCDCVJV 
"
44,"post new photo Facebook http //t.co/e1plkFMXGR 
"
45,"post new photo Facebook http //t.co/PM2olikV54 
"
46,"post new photo Facebook http //t.co/WZUF2umYlp 
"
47,"post new photo Facebook http //t.co/kCYaPGzVER 
"
48,"post new photo Facebook http //t.co/6ddr1cIAyv 
"
49,"post new photo Facebook http //t.co/OTYVqyyhRb 
"
50,"post new photo Facebook http //t.co/ELSeXnVA1z 
"
51,"post new photo Facebook http //t.co/2hjlv558KJ 
"
52,"post new photo Facebook http //t.co/SoV2dFyhfw 
"
53,"post new photo Facebook http //t.co/ceoQsYQlqy 
"
54,"post new photo Facebook http //t.co/FM94P3o3t4 
"
55,"post new photo Facebook http //t.co/yV8SKwuvX0 
"
56,"post new photo Facebook http //t.co/kp8mL0ccTx 
"
57,"post new photo Facebook http //t.co/d4NTRMlj9G 
"
58,"post new photo Facebook http //t.co/N4GXx1WAY6 
"
59,"Tour with Sudais and Talha http //t.co/QBLPcH4IXZ 
"
60,"http //t.co/EsvCacZ60k 
"
61,"aga moo noor hum kafa Kaye 
"
62,"mazey sahar aoo makam manda yoo Dunya makhkey aoo Mong warpasey 
"
