,Target Tweets
0,"Joale utloa etsa eka you can relate Emella maaaa 
"
1,"be make easy the pot use Hape lubile properly first attempt But haters be busy say 'na 
"
2,"This right now 
"
3,"tlo khetha hape 
"
4,"you want peace the right thing 
"
5,"That why do hlapeng today hlapa maobane ache bone koena metsing joale 
"
6,"ntso tlo hlapa hape mantsiboea 
"
7,"man etsoe tjena Ska etsang ntho tse bohloko tjena 
"
8,"Happy 10th Anniversary Ntate Mabusela Morena Molimo 'ne tsoele pele hlohonolofatsa 
"
9,"Mohla bang power and influence tse ngata mona batho bangata tlo phela hamonate fuuu 
"
10,"tseba ts'epileng hee qala tjena 
"
11,"hoba likhathatso tjena bro Che tlameha lebelo 
"
12,"Follow intuition and accept right there and then that mistake you will forgive yourself 
"
13,"One these days gon have chat with the lil man tla joetsa tsona joalo 
"
14,"Batho bano mono mphile glass juice DARLING maobane Worst part M25 
"
15,"ska etsa tjena Empa aico haholo tjee etsa 1.72 
"
16,"Hahaha hope one day get use Apparently be miss out 
"
17,"Which one you you you Happy birthday 
"
