,Target Tweets
0,"Totalement indcent curant les prix pratiqus par ces 
"
1,"NOT Take care yourselves first and foremost Theres plenty people who can replace you the meantime 
"
2,"Politicians politicians politicians ... 
"
3,"Salut Kenza pourrais-tu redonner nom restau italien qui vient d'ouvrir chez ton frre Basilic sur table 
"
4,"ils sont pas dit s'il reste prpa pendre peut-tre fait.. Sorry man 
"
5,"vous pouvez tre aim soyez craint 
"
6,"J'ai encore toi 
"
7,"aussi changer d'iPhone tous les 4mois 
"
8,"Merci m'expliquer comment j'arrive perdre plus pair d'couteurs l'anne 
"
9,"Normcore Toi toi toi toi aussi Salut 
"
10,"Son entreprise finance maison gouvernante ainsi que nombreux vols Concorde moi 
"
11,"Where Marie Antoinette would have live she have the money J.R 
"
12,"there daddy daddy now you rip fur 
"
13,"do n't mean anything 
"
14,"srieusement Champagne 
"
15,"soutiens Suisse peu par respect.. Mais surtout pcq j'ai compte l-bas J'aimerai tre bien accueillis prochaine fois 
"
16,"Avec but d'ouverture personne t'en voudra clam haut fort notre union Love Gigi 
"
17,"You mean something You 've always mean something And you always will mean something 
"
18,"men because they want more sex other news bonobos because fun 
"
19,"pas droit d'tre t'es pas majeur LOLILOL 
"
20,"est prfrable pas dbattre avec les femmesHomophobe Sexiste prochaine tape cest quoi passer une nouvelle race 
"
21,"They Man Men right 
"
22,"Far far away 
"
23,"portrait solitaire balcon d'un appartement que connais bien 
"
24,"Lavoine froment toussa toussa calme avec 
"
25,"commence avoir petit creux 
"
26,"Offrir tee-shirt vas faire foutre encul 
"
27,"C'est dfinitivement fini 
"
