,Target Tweets
0,"The 3Ts South Korea success battle COVID-19 
"
1,"South Korea display how educate population can prove helpful help time like these Korea be 
"
2,"Dissent democratic.Bina dessent North Korea jesa desh chalta hai ... The whole idea citizenship frm its 
"
3,"Bas students aas baki hai ... baki toh Media pilayi hui ghoont gye hain ... bakiyon ghar tak 
"
4,"Today while have discussion lunch with the other scholars here be wonder about what make Korea 
"
5,"haha ... Love Delhi 
"
6,"Some Trump policies stem from demand internal mass There problem for South Korea and need 
"
7,"n't know what his advisors be do Kuch bhi bolta hai ... Internationalising the Kashmere issue too 
"
8,"Another year with many beers tear fear and cheer come end Though not sure maturity progr 
"
9,"Wow India way behind Pak ... 
"
10,"Looking for recommendations book relate Indian Foreign Policy and general Would really appreciate 
"
11,"Trump Meets Kim DMZ Steps Into North Korea 
"
12,"watch Parasite 2019 CINUS 
"
13,"here today Menstrual Hygiene Day they discuss support sanitary pad all the girls their tee 
"
14,"India Successfully Tests Satellite-Killer Missile 
"
15,"Wishing every one bless and happy Holi 
"
16,"Focus all the Korean media currently /the father Korean democracy Chun Doo-hwan appear 
"
17,"One the serious problems that exist Korea today its increasingly grow age population.As become 
"
18,"Sharing expert view Hanoi meet 
"
19,"How the issue be look outsiders ... .an articulation the current Ind-Pak Kashmir crisis have turn 
"
20,"hahaha ... .we have earn 300 RDX and 300 terrorists ... haha ... kauno mje raha hai 
"
21,"think there be enough preparation place for the US- Summit meet but now that they be give differe 
"
22,"Summit conclude without joint statement/agreement and the meet be cut short wonder they prepare for 
"
23,"anyone friend list accompany our Korea please bring some Haldiram Namakeen packets for 
"
24,"Here bigger problem the China factor that be mention about something that India need more ... 
"
25,"Japan deny leadership will gradually and eventually accept its role increase counter China inc 
"
26,"The terrorists be homegrown The Government have look for long term solution Kashmir issue Many be 
"
27,"Shot Heard Around the World WTO Vindicates Korea The Peninsula 
"
28,"The 2nd month every year bring some the most crucial days for single ... but see the logic give 
"
29,"kya raha hai ... 
"
30,"South Korea Pay More Under New Military Deal With U.S 
"
31,"China plan sell Pak aircraft carrier and integrate militarily The Sunday Guardian Live 
"
32,"demand increase the share the cost for the troop station Korean soil.While the say 
"
33,"years ... and happy share progress language 2016 have participate speech contest organiz 
"
34,"get the opportunity visit one the significant place South Korea that the DMZ Although tge time be 
"
35,"BUSY YESTERDAY HERE THANKSGIVING DAY POSTSometimes the crisis not about money resources opportuni 
"
36,"travel Korean DMZ 
"
37,"Dear All Here share the picture short visit India visit India for receive the medal which 
"
38,"One teacher here Korea offer beef eat yesterday decline politely Her response be amaze ... 
"
39,"Modi jacket Korea 
"
40,"Yeah Agree with that ... The way express clearly mislead the readers there deliberate effort 
"
41,"Here nutshell ... While the question wthr not the award with the peace prize one concern 
"
42,"... now this go become another controversy ... Chun Doo Hwan and Modi comparison bite awkward 
"
43,"take trip the World Heritage Site Korea the tomb one the ruler king Muryeong the Baekjae dyna 
"
44,"More come ... 
"
45,"Fridayevening Goodweather Bit relief from language stress ... Daejeon 
"
46,"Today concert Konyang University gradually fall love with their music and instrument must 
"
47,"While Moon try expand the horizons for South Korea through his New Southern Policy visit India see 
"
48,"Got attend the AAS Asia Korean Studies Reception organize Korea Foundation ... new initiative bring Kore 
"
49,"know this awkward feel go alone ... and cant avoid go bcoz love movies And when request jerk 
"
50,"Now this require attention the other small countries which be embrace China and the economic benefit off 
"
51,"Some one know what feel every time when receive online bhi ignore 
"
52,"perfect comedy watch Book Club Logix PVR Gold 
"
53,"Prayers many Korean brothers result the successful organize the summit meet could not stop watch 
"
54,"The way how keep fast be redefine with time Now you cud eat chole bhature barfi sandwich while 
"
55,"The influence China 'peaceful rise evident Maldives.. 
"
56,"China 'non-interference policy bcms rhetoric only aftr China successfully mould concern country for 
"
57,"Sharing journey back from Jaipur Delhi Couldnt get the reservation tym decide travel 3rd class almost aftr 17yrs 
"
58,"Anish Singh 2saal gye Happy friendversary 
"
59,"Happy 2years together Geetanjali Dangwal 
"
60,"seem threat bigger issue for Trumph now 
"
61,"Finally get admission Ph.D. feel bless 
"
62,"While respond India move Dokalam China have sit numerous historical evidence claim the region ... 
"
63,"What do China still have -Money North Korea and sooner ... Isalmic force 
"
64,"Hahahaha 
"
65,"They should not think that be South Korea that they can bully And here come the response.. 
"
66,"Chinese bigger version vision have finally come direct clash with that India hope be able ... 
"
67,"Hahaha 
"
68,"What think 
"
69,"Hoping tht South Korea get some manueuvering space atleast give space for coutries like India list 
"
