,Target Tweets
0,"zhszh 
"
1,"RIP 
"
2,"Antico Tibet nuova Cina 
"
3,"zhng 
"
4,"jun 
"
5,"Liquidating after Quarantined 
"
6,"Nova Coronational-States Distancing 
"
7,"WHO vs.WHV 0:1 
"
8,"edit few months ago vedios'clips together 
"
9,"Plandemic 
"
10,"Mr.Harvard faited 
"
11,"Foolish Cum 
"
12,"Extinct=MassCorona 
"
13,"weird worldemic 
"
14,"globemic 
"
15,"propapandamic 
"
16,"Home Undepart 
"
17,"America Military not America Government 
"
18,"Ocean distance be fail 
"
19,"stealth 911 civilization 
"
20,"bullshit 
"
21,"Hanwu City 
"
22,"VIRWUS 
"
23,"PANDAMIC 
"
24,"-BBC 
"
25,"Gander 
"
26,"copy 
"
27,"pray for everyone 
"
28,"This time for be too later 
"
29,"Verified Yet right 
"
30,"TURTH 
"
31,"NovaCoronaCash-2020 
"
32,"OMEGA 
"
33,"the end 
"
34,"lol 
"
35,"GOD BLESS YOUR ALL 
"
36,"curse 
"
37,"N705CK ,.N713CKN705CK 
"
38,"China Eastern Airline 
"
