,Target Tweets
0,"lot 
"
1,"Damn love your smile Crazy for your dimple 
"
2,"When will the stop give animals and insecured bastards our life protector anything go wrong 
"
3,"What be you say Ladoja not yesterday politician 
"
4,"Pls get yourself real yoruba girlfriend and experience both together real Ata dindin 
"
5,"That movie light 
"
6,"That dude do n't die gut tell that there have continuation ... 
"
7,"Alright sir VGTwithOmojuwa VirtualGameTime 
"
8,"First frame Love 
"
9,"3263002896EcobankOlumide Adeniyi 
"
10,"Happy birthday 
"
11,"This man know say him Don old abi 
"
12,"Lady just make cry after watch her YouTube 
"
13,"This miss Africa from Nigeria what her name pls 
"
14,"This crazy Nigeria rich but poor the same time 
"
15,"True talk need start mine them shit 
"
16,"Most our friends n't deserve 
"
17,"Got friend like this always want there for her advice her but word never count she still go 
"
18,"This dude the second frame which movie be pls 
"
19,"The best reply 
"
20,"Since all this years have you be able understand the Word CHRISTIANITY you just claim one 
"
21,"need you back 
"
22,"How old your boy 
"
23,"Some tweet get you think WTF 
"
24,"the end this Covid_19 issh lot youths will without faith 
"
25,"Are you still able tweet ads the site 
"
26,"Data MTN will not kill 
"
27,"Straight home sixers 
"
28,"Wizzy 2014 record 
"
29,"Happy Sunday 
"
30,"They become irrelevant 
"
31,"Sincerely problem with this that she call Ibadan girls see this total nonsense 
"
32,"Love this 
"
33,"Lovely 
"
34,"Harri good one 
"
35,"When will get 1000 followers this street pls tell Twitter some magic 
"
36,"Pls tell them 
"
37,"Follow back pls 
"
38,"God bless her soul May the good God grant her eternal rest 
"
39,"pls 
"
40,"surely will your when the time come 
"
41,"know this boy again 
"
42,"Even carry chair put for your gate from morning till night see anything 
"
43,"You know what n't blame the government cause believe they do their best but some greedy elements who felt 
"
44,"Congrats 
"
45,"ready work sir 
"
46,"Lovely hairstyle beautiful 
"
47,"3263002896Ecobank 
"
48,"Seriously need reason this heartbreaking matter what happen the economy right now not favorable 
"
49,"Someone stand and think the next thing record this woman this state who the fuck will reasonab 
"
50,"Congrats man 
"
51,"know not dispute 
"
52,"First time 
"
53,"You know that feel 
"
54,"ForexMasterClassWithFrankieAll need right now 10,000 only want use buy food stuff 
"
55,"That sense have go journey return 
"
