,Target Tweets
0,"Serena Williams Named New Global Spokeswoman for Stuart Weitzman 
"
1,"the massive mix social media dance challenge and viral videos sit 16-year-old Alexis Loveraz math wiz 
"
2,"Chef Daniel Boulud and Green Realty Launch Non-Profit Feed New Yorkers Need 
"
3,"See this Instagram video 
"
4,"Women confront connect The typical response from man however that think his wife confront 
"
5,"Forgiving the direct opposite judge Nothing easier than judge nothing harder than forgive and 
"
6,"Black Owned Distillery Pauses Vodka Production Make Hand Sanitizer Fight Against COVID-19 
"
7,"Focus 
"
8,"'Mondays With Michelle Your Forever First Lady and Quarantine BFF Hosting Livestream Story Time for the Kids 
"
9,"Check out this FWPharma article FDA approve Incyte Pemazyre first target treatment for cholangiocar 
"
10,"Wow watch Black This issue be addressedSexualization and Adultification Young Children Color Soci 
"
11,"Love everything about this post n't take yourself seriously despite what you be do serious work Have 
"
12,"Interesting 
"
13,"Love everything about this post 
"
14,"The Dads The Root Provide Some Insights Into Their New Shut-In Realities 
"
15,"can start that process right now Make that call you know you need make 
"
16,"Fat Burning Cardio Workout Minute Fitness Blender Cardio Workout ... via 
"
17,"speechless See this Instagram video 
"
18,"The Festival via 
"
19,"Love this soo much Virtual Bingo with Matthew McConaughey via 
"
20,"Meet The Polyglot Who Started The First Black-Owned Online Korean Language School Black Enterprise 
"
21,"Stay home stay safe and make work 
"
22,"Praying for all our healthcare workers everywhere bless 
"
23,"Update Shares the Fly 
"
24,"Former NFL Player Myron Rolle Now Doctor Fighting COVID-19 Black Enterprise via blackenterprise 
"
25,"Repostingbtjis amaze duet 
"
26,"U.S. airlines prepare plan virtually shut down domestic service amid outbreak 
"
27,"Watch ENON LIVE 
"
28,"Whatevers happen here be things from that you can right now make things better 
"
29,"Love Thank you Ms. Davis Fabulous 
"
30,"BBC News Coronavirus Violinists play Titanic hymn front empty toilet paper aisle 
"
31,"How Black and Mobile Works 
"
32,"Jill Daily Devotional The greenest grass 
"
33,"Jill Daily Devotional The sound silence 
"
34,"Jill Daily Devotional Handling success 
"
35,"Yes gas 
"
36,"Doing These Uncomfortable Things Will Pay Off Forever 
"
37,"You always say ... Keep live Here be 
"
38,"Coronavirus force change office policy via 
"
39,"Janssen Announces U.S. FDA Breakthrough Therapy Designation Granted for JNJ-6372 for the Treatment Non-Small 
"
40,"Your Colleagues Dont Read Anything You Write Here Are Ways Change That 
"
41,"DePauw University Names The First African American Woman President the Schools 180 Year History 
"
42,"Love this ... whom much give much require 
"
43,"Oklahoma School District Apologizes for High School Basketball Announcer Who Called Players Names 'Pretty Disgusting 
"
44,"Watching the Ripple Effects Nurse-led Innovation Unfold 
"
45,"The Real Game Changers 
"
46,"Meet the black architect who design Duke University years before could have attend via 
"
47,"Instead expend energy fit into the group its better expend energy find the group which fit 
"
48,"How amp Vision Using Artificial Intelligence 
"
49,"Heres what you need know about the newtravel authorization 
"
50,"What You Need Know About the Latest the Coronavirusand Potential Preventive Vaccine 
"
51,"sleep the street homeless kid n't have part the Sleep Out Young Professional Edition Phil 
"
52,"crave explanations for most everything but innovation and progress happen when allow ourselves embrace 
"
53,"Who rule the world Let WOMEN 
"
54,"Women rock Royal Enfield Bullet make Republic Day parade debut with CRPF bikers 
"
55,"Goldman Sachs new rule least woman the board you n't public via 
"
56,"Black-Owned Shops Restaurants Day Spas amp amp More Boom Philadelphia 
"
57,"shes amaze and adorable 
"
58,"Storytelling tip for company How not suck 
"
59,"startupstrategies 
"
60,"Exclusive Atlanta-Based Entrepreneur Jewel Burks Solomon name Head Google For Startups U.S. via 
"
61,"Sharing from friend post Amazing performance 
"
62,"New Gallop Poll Nurses Continue Rate Highest Honesty Ethics 
"
63,"Yaaas but let not focus much the outside that forget work more diligently the inside Beauty 
"
64,"Interesting think ... how long would you want live 
"
65,"4th minute workout Original Minute Workout complete cycle 
"
66,"3rd minute workout Original Minute Workout complete cycle 
"
67,"Yes can 
"
68,"need trials test our equipment ensure that they be safe Read 
"
69,"Transformation Yes can 
"
70,"'War the Poor Amid Avalanche Criticism Trump Administration Restricts Food Stamps for Hundreds Thousa 
"
71,"The art and soul black Miami shin during Art Basel and Miami Art Week 
"
72,"11-year-old dance into history 1st black lead NYC Ballet 'The Nutcracker ABC News via 
"
73,"Black Woodstock Questlove Direct Documentary Untold Story the Harlem Cultural Festival 
"
74,"Year Ago Cisco Pledged Empower Million People With Tech Skills Meet One the Young South globalcitizen 
"
75,"Let Women 
"
76,"What Working Dads Really Want 
"
77,"Excitement come from the achievement Fulfillment come from the journey that get there 
"
78,"Black Cruises Book Now cmp=EMC-DSM-NLC-OTH-SIS-20191112_SistersNL_Seg55_691400_1241403-111219-F1-BlackCruises_ 
"
79,"schedule Red Cross blood donation Join help save live Janssen Pharmaceutical Company 850 
"
80,"Years Slave Restaurant Owner Gets Bullshit Sentence for Enslaving Intellectually Disabled Black Man 
"
81,"Issa Rae amp LaKeith Stanfield Explore The Complexities Love The Photograph via 
"
82,"Approaches for Managing Diverse Global Workforce 
"
83,"Live and Die Bed-Stuy 
"
84,"Why cameras and microphones follow Dropping pearl with the famous Cheldin Thisisit womenempowerment 
"
85,"Play Philly provide underserved children Philadelphia transformative music education experience that devel 
"
86,"Oncologist Edith Mitchell Wins PHL Life Sciences Ultimate Solution Award via 
"
87,"Meet people right where they be 
"
88,"Celebrating 75years company Johnson amp Johnson mycompany jnj 
"
