,Target Tweets
0,"know people who look like her 
"
1,"one person unfollowed automatically check 
"
2,"people follow and one person unfollowed automatically check 
"
3,"only black people who actually have there own account with there credit Info Obama and Oprah not like they 
"
4,"This right here 
"
5,"Being myself now people fuck with 
"
6,"the zoom trynna get English teacher take miss work from before the break can graduate 
"
7,"Ngl dont know trey songs verse 
"
8,"use this 
"
9,"people follow automatically check 
"
10,"You need find real sista Brutha 
"
11,"juliancarothers 
"
12,"NBA 
"
13,"Kendrick 
"
14,"Big Sean cause 2chainz best songs get fts 
"
15,"Meg 
"
16,"Who brent dont know who mean dont get radio play mean dont make hit 
"
17,"all them look like some praxs prom snack 
"
18,"when all the other niggas the class start talk about the hood 
"
19,"one person follow automatically check 
"
20,"Stfu abmber 
"
21,"learn from this ... Caroline doesnt take genius know that wasnt 
"
22,"this point these people just want attention 
"
23,"You be drive asf Just what you do track you can life ..if you can nahhhh you will 
"
24,"people unfollowed automatically check 
"
25,"corona virus be STD fine 
"
26,"your idiot ... cruel what would those people without those job eat and what would countrys without 
"
27,"aint gon Give you shitgo get another job like be do Austin and ally 
"
28,"Yea but now the slave fight 
"
29,"mom would die buy one these girls home 
"
30,"Look the bottom row.1 shoe and the guy have stuff his hand and shoe and there only one News paper 
"
31,"nigga 
"
32,"and this taht asian kid aquatic science mom 
"
33,"have snap get the last name right and end fuck the first name 
"
34,"one person follow and one person unfollowed automatically check 
"
35,"You know how far have scroll find this hoe 
"
36,"corona Nigga need worry about herpes and lung cancer 
"
37,"you think that be funny huh 
"
38,"cant wait graduate and college and Lead successful life High school English and economic teacher 
"
39,"Stgevery time pop think damn here Again but never wrong 
"
40,"miss youFr aint talk long time 
"
41,"Yall aint gon admit she look but she do 
"
42,"Teacher review be due the day before the you take the test you dont turn your review gon use 
"
43,"go college 
"
44,"Poor white people think Hollywood have agenda make people gay love black people and have something against 
"
45,"ngl should all just date someone random before college just see 
"
46,"Meg and eazy together the equivalent jaden newton and Joshua spark 
"
47,"Cap ... you get follower 
"
48,"And biggie and eazy be fosho not the sky 
"
49,"not all these people at/going the same place 
"
50,"want grabb black girls hair all the time cause feel goodI ask first tho 
"
51,"dont feel bad for yall these relationships cause yall run around talk about how yall lik 
"
52,"every one swear all from the hood 
"
53,"How yall know from the hood 
"
54,"Stfu tire hear yall talk about what yall finna life 
"
55,"The Bible not confuse 
"
56,"nah tahts pat 
"
57,"Yall more mad about black men joing college organization than gangs.. 
"
58,"Yea cause your lanky 
"
59,"ReachhhhhI promise you most black men dont care 
"
60,"nigga think that be you 
"
61,"mom say fafa instead fasfa and piss off everytime 
"
62,"paola tweet her self and reply 
"
63,"think be iran 
"
64,"can spell can have 
"
65,"Red bottom shoe 
"
66,"Ima put you Versace 
"
67,"These niggas really go war ... 
"
68,"Vidor one the most white place Texas 
"
69,"see lot church the backwoods texas 
"
70,"And when stop base life worldly possession and put the quality life you will see that 
"
71,"Your problem you dont believe anything but the internet ... church the hood arent the problem 
"
72,"This lil boy sound like 
"
73,"This Tweet from have be withhold India 
"
74,"School lunch hit the low 
"
75,"Jkdont send know gay ass HDM MESSAGE 
"
76,"be juliancarothers 
"
77,"yall niggas think yall can dress but end look like clown 
"
78,"Dead assI be like wtf she do dream 
"
