,Target Tweets
0,"Absolutely hero 
"
1,"Solid work do you publish the paper 
"
2,"Youre not crazy Youre hero go that after first one 
"
3,"Thanks Sina Wonderful appreciate your help 
"
4,"ethnic block just because say opinion politely Suck jerk 
"
5,"be such pleasure read the land green plums person who have live under totalitaria 
"
6,"feel the same be do PhD Singapore and Prof. Thorsten Wohland abuse and his 
"
7,"do that once just because be not happy youre not feel happy move bro Life short 
"
8,"watch this videos recently They be very 
"
9,"really be Thanks again and have nice day 
"
10,"go use qPCR soon and didnt know anything about before watch this awesome video Thanks 
"
11,"And dont try correct yourself while write Its better do the end 
"
12,"Clock your work Reading this single-page article Ive work more efficiently 
"
13,"Youre gorgeous 
"
14,"Amazing Thanks very much 
"
15,"Its almost and can not put this AMAZING book down Such wonderful gift from supervisor 
"
16,"Awesome Thanks for share 
"
17,"Amazing person Its really pleasure work under her supervision 
"
18,"7.00x change life Professor Lander just wish could see him person one day Thanks 
"
19,"you want hear brand new Frank Sinatra song 
"
20,"Ive just start learn how use Galaxy Thanks for share 
"
21,"Singapore literally AWESOME especially between September December work NUS for mont 
"
22,"Massachusetts 
"
23,"youre upset with study home just find quiet place and START this the most challenge part Once 
"
24,"Search for NASA ISS Live Stream You can watch for like million years Amazingly peaceful 
"
25,"Awesome Happy Pink Floyd 
"
26,"Not just tough the worst time Ive ever see life Spending the whole day basement tha 
"
27,"Ive be there for years youre gon enjoy 
"
28,"love the way Professor draw mouse 
"
29,"Close-up shoot cancer cell that have be cut open use ion beam be take biomedical engineer Nick Moser 
"
30,"rather accuse overreact than not do job.AIDS researcher Peter Piot 
"
31,"Awesome Congrats 
"
32,"Our team the UBC study yeast protect astronauts from space via 
"
33,"Specially this era Many scientists be use others data apply them into machine learn and 
"
34,"Wonderful 
"
35,"hero 
"
36,"Spectroscopists be the most patient people the world Even youre not spectrosco 
"
37,"Ive start deep work literally put iPhone pocket and dont look before noon 
"
38,"There be some pioneer group try remove sugar from human blood and convert all blood type type 
"
39,"very very knowledgeable man and hes be publish great paper for several years but do abuse the students 
"
40,"work for months Singapore and have horrible time there supervisor force 
"
