,Target Tweets
0,"Aku juga jadi kangen adek kamu 
"
1,"Gemesss bgt nangess 
"
2,"Marahinnn shabbb Kesel bgt gua juga 
"
3,"Plissss ajarin baca bahasa gaibbb aku udah pusinkkkk 
"
4,"Alias aku ketipu manaaa gaada jawabannya bambanggg 
"
5,"Udah capek ngerjain quiz terus tiba2 inget ada pernah ngupload cara hack jawaban google form udah gua cari 
"
6,"Aku kan gangomong apa apa kakkk 
"
7,"Iyanih kak aku balajaer xixixixi 
"
8,"KEREN BANGET EMANG TEMEN TEMEN AKU NGOMONGIN ORANG LANGSUNG DEPAN ORANGNYA 
"
9,"Seruuu bgt coiii 
"
10,"Wkwkwk sabar bgt inii 
"
11,"Sad bgt hari ini buka cuman bertiga 
"
12,"Tengs bgt inimah aku nonton haikyuu 
"
13,"Kaget bgt baca igstorynya naomi arifin kebaca semua terus ngerti emg cmn gitu doang sih anak baru belajar baca gmn rasanya 
"
14,"And now what love activists this rate god yes 
"
15,"Kamu memang cerdas hyung 
"
16,"Wkwkwkwk sejujurnya mbanya aku bgt sih kek sma pernah belajar apasih gua tuh 
"
17,"what nice line for graduation speech Michelle such number one role model but this rate dont 
"
18,"Hardly think about this one arigatou 
"
19,"Capek bgt bacanya 
"
20,"Menangiss derass hyunggg 
"
21,"Kaget bgt adek gua bilang kaka kelasnya sbmptn besok pada cuman tps doang pas gua cari beneran masa ... kok aku 
"
22,"Why this suddenly make nervous But look those reply think yesss Anne Hathaway would great 
"
23,"Iya hyung kemarin galama terus ngeliat tweet nya shabira 
"
24,"Ihhh demiapaaaa hyunggg 
"
25,"Still think about all the deaths Logan 
"
26,"Rutinitas yang baik pertahankan hyung 
"
27,"Coba rutinitas baru hyung makan habis sholat zuhur 
"
28,"Aku menyesal ngepoin harganya arch 
"
29,"Semalem meracuni irsad dengan kopi terus marah-marah karena baru bisa tidur jam sekarang katanya ngantuk bgt 
"
30,"Seharusnya orang indonesia tuh kecil kasih edukasi kayak gimana sih Capek bgt liat jalan pikir orang aneh aneh 
"
31,"there any even kyoto that look like this think itll full people 
"
32,"Tudung sajinya kosongg kamu gofoodin aku aja dongg 
"
33,"Dahlah need stop think this rate ... makin malem dipikirin makin random google makin ngada ngada aje 
"
34,"Product placement hampir setiap drama sih keren bgt kayak beneran gaada lie selain samsung gitu korea 
"
35,"Iya tentu kamu masih kos lama dund kan kamu kos baru aku udh nda bisa sahur pondel 
"
36,"Menangiss bgtt 
"
37,"Wkwkwk keren bgt 
"
38,"Aku isma isty kan sering sahur pondel 
"
39,"Btw ini Ramadan baru tau bgt hari lalu pas bikin design ucapan puasa kirain selama ini pake 
"
40,"qotd nya efec keren bgt jujur baru tauuu kirain setelah harus selalu ternyata tidak ... keren keren 
"
41,"semalem timeline kayak kebakaran bgt gitu yah kak wkekekekekekek 
"
42,"Orang-orang pada tidur aku ngerjain tugas soalnya pas orang-orang pada ngerjain tugas aku tidur wkwkwkwkwkwkwkwkwk 
"
43,"WKWKWKWKWKWKWKWKWKWKWKWKWKWKWKWKWKWKWKWKWKWK aku wkwk yang banyak aja kak 
"
44,"Kangen disamperin tarawih terus pulangnya dilama-lamain 
"
45,"Problematic bgtt gakuatt coi ntar kalo penasaran pal kek elu nihh wkekekekek 
"
46,"Semalam berhenti nonton twotm karena gakuat sama jalan ceritanya akhirnya barusan dilanjutin skip part 
"
47,"Filter tongue twisters bikin inget pas sering bgt mainan gini dan peter piper tuh udah kayak syarat umum bgt 
"
48,"Gaadil bgt idup ada orang kayak lee min 
"
49,"Kamu kangen buka puasa sama aku kali 
"
50,"Jadi orang kerjaannya deg degan doang tapi ngga dijalan-jalanin sekarang udh kelar ternyata gapapa kan kemaren 
"
51,"Demiapapun ngakak bgt Masalahnya adek gua baru aja botakin rambut 
"
52,"Kadang ngerasa takut sama quote quote yang bilang buat gapapa gapapa buat take your time dont rush dsb 
"
