,Target Tweets
0,"Fireboy songs be not for single people 
"
1,"Guy legit 
"
2,"Somebody should seize Pamilerin phone please 
"
3,"listen radio program where the topic discussion the AKSG ban import livestock and closure 
"
4,"tire abeg 
"
5,"This Kunle gist legit abeg.28 abortions Are you goat 
"
6,"Sleepy Joe.Donald Trump abeg 
"
7,"NEWSFLASHMidterm break call off 
"
8,"state Governor say with executive order sign that effect.You BWhat you expect 
"
9,"watch the interview from start finish.Oga give reply every question be ask 
"
10,"About three days window be give before the total lockdown be enforced.That be when leave River 
"
11,"Lol ... Was Except another interview watch 
"
12,"'So many people practice law social media'Nyesom Wike 2020 
"
13,"Wisdom full man head 
"
14,"Newscaster Was demolition the only option Why not lighter measure like seize the property 
"
15,"Newscaster Was demolition the only option Why not lighter measure like seize the property Wike Seizing the 
"
16,"The North steady rise and top the chart 
"
17,"Stunning 
"
18,"dad sing everyone Abba song word for word 
"
19,"The State Governor say even sign executive order that effect.You and expect what pat 
"
20,"How can you compare Sergio Ramos with Virgil Van Dijk.What wrong with people this bird app 
"
21,"Baby girl 
"
22,"Wanted PHARMACY.Studying PHARMACY 
"
23,"This week the PTF say treatment asymptomatic patients Lagos will soon home.The Lagos healthcare syst 
"
24,"Apple what Sir 
"
25,"National lockdown right inter-state travel right Well corpse just make way all the way from Lagos 
"
26,"man weak 
"
27,"That BBC Team joke.A huge joke.Bruno Aguero 
"
28,"this point Let just assume that Abacha be save the money for 
"
29,"This old picture.Do n't mislead people 
"
30,"Abacha again This man rate 
"
31,"Soon bro 
"
32,"doubt beat dad 
"
33,"How retweet this time 
"
34,"North 
"
35,"Mum n't live fake life Let her love you the way you are.Me Why be you look direction 
"
36,"and parent be watch series.On today episode guy try impress girl with his parent car and house 
"
37,"'ve see more movies the last days than 've see all life 
"
38,"Boss Mustapha sound very piss this PTF news conference 
"
39,"like and retweet post What Wednesday 
"
40,"The GDP the whole Africa 2trillion.Amazon Facebook Apple and Microsoft have combine GDP over 
"
41,"Blaqbones and content 
"
42,"But there actually hope for this Nation 
"
43,"Guy 
"
44,"Happy Birthday 
"
45,"Sometimes people need help and not sign weakness ask for 
"
46,"This bird app 
"
47,"Wait wtf just go through your profile only find out that you be bear same day and same year 
"
48,"5th May 2010That fateful day.Forever our hearts The best 've ever have but do n't get the chance enjo 
"
49,"University Port Harcourt 
"
50,"Germany 
"
51,"Portharcourt 
"
52,"NewProfilePic 
"
53,"Biggest business Nigeria right now Sale nose mask 
"
54,"Wizkid bless Africa bless have him 
"
55,"Wizkid 
"
56,"This the worst picture 've ever see this bird app 
"
57,"fit wait again abeg 
"
58,"Where you dey since Abeg drop new jam for us.Me personally 
"
59,"Try your luck 
"
