,Target Tweets
0,"Uqinisile abenkani ngempela mthethwa wami 
"
1,"Wow The foamness What she do ungrateful act serve her right 
"
2,"Its quite minute when have that conversation ole tispy-nyana nako teng 
"
3,"part that tribe amp not offend But their behalf here likhuluma kanjan manje Liyasjwayela kabi lonke 
"
4,"Facebookey behaviour educate please 
"
5,"They change again Eish 
"
6,"Bare whass the steaz ma'am 
"
7,"Now the next book The Spire Richard Patterson courtesy dude Letsile Gracius 
"
8,"Just finish read the Perfect Match .Sounds like romantic novel but far from Emotionally 
"
9,"EarlOnTheBeat EarlOnTheBeat EarlOnTheBeat see n't you out too would you crazyDiamond the 
"
10,"Eseng forward pelo Her disrespect level be very high 
"
11,"Women be emotionally strong hey Infact women be strong Period 
"
12,"course Only for the MATURE akere 
"
13,"Apparently Havard and LBS MBA graduate get job immediately after completion would interest fact all true 
"
14,"self inflict depression check Havard and LBS MBA postgraduate price FUCKING HELL 
"
15,"Yupp even worse return debit card the bank for cancellation DelayedGratification 
"
16,"Best place this egoli Park Station ATMs downstairs Uzobanyisa nyi 
"
17,"Not anymore however they 've place few cautionary measure way assess how go guess 
"
18,"Basic classic cocktails still for Packs you like Manny effortlessly 
"
19,"Really fam batla punch-nyana after lockdown Fruits be cheap problem get liqour unle 
"
20,"should this for your birthday Mbako 'll the honour 
"
21,"why do they even bother meet 
"
22,"Just like that 
"
23,"Sussed tweep refer homeboy shoe onyomarks amp for this reason tweet with the most caution Fuck 
"
24,"course mate convince most them have Lesotho their bucket list post the 'rona Mosebetsi 
"
25,"HONESTLY This go exacerbate the spread n't the government suppose monitor the viru 
"
26,"Wow all glory thee most high 
"
27,"Keep your morals align and the ride will feel like callin The bar tew-mush hombre Ishuuu 
"
28,"Yeah Both remain classics 
"
29,"One day time Mandy Time heal ALL wound mate 
"
30,"Note self 
"
31,"Cole Drake work their magic with the morning Every memory attach this track remain eternally memorable 
"
32,"Come buy brother still available will clear BURS after lockdown 
"
33,"dude DREAMS inshallah God will mate God will 
"
34,"this what you be refer yesterday dude Put well yeah 
"
35,"Wow 
"
36,"There always that ONE hey 
"
37,"dude 
"
38,"Jang mei bra Covid-19 ere tsentse 
"
39,"Its the memories and lessons you cherish and keep move You wound you be convince 
"
40,"Lol 
"
41,"Trust bro Check 
"
42,"Liqourama Block have be open all this time 
"
43,"Yeah maybe they buy that herbal tea from Madagascar 
"
44,"Yes and here the beauty you can own-to-rent You deserve all the good things akere 've always tell you 
"
45,"n't this nigga Shaka Zulu himself 
"
46,"Covid-19 E-permits be lie BEEN wait days How be suppose get our groceries damn Was look forwar 
"
47,"Thank you Let wait for the thread 
"
48,"Jin The Emcee use extraordinary things 106 amp Park Yoh Rap battle legends 
"
49,"Cassidy still get the bar doe Undeniably the GOAT his league 
"
50,"Also read article from about The change covid-19 force business Talks mostly 
"
51,"Will make for the next months Managing all personal amp business expense with revenue come The 
"
52,"could you please educate this 
"
53,"Wow just here appreciate your work 
"
54,"Brazene ereng lockdown papa 
"
55,"offend bro feel attack bro 
"
56,"Tanki ngempela Sammy 
"
57,"Ngizoyikhumbula itweet amp hold you TRUST 
"
58,"You can tell from this picture hore matala batla boroko feela Why still position 
"
59,"Nisile nina yazi Lol 
"
60,"Lol jikisang the whole our Free State Province and 'll glad pay bafo 
"
61,"Been sleep Octavian amp music Forgive 
"
62,"Let hope days days the situation will better than worse 
"
