,Target Tweets
0,"The largest economic package the history India Twenty million crore package Hopefully everyone will develo 
"
1,"Happy International Nurses Day Today celebrate the contribution that nurse make society and say big thank 
"
2,"When someone mean dont listen.When someone rude walk away.When someone try put you down stay firm 
"
3,"Yes Thank you for the service 
"
4,"Yes 
"
5,"Govt extend the lockdown India two weeks Lockdown will now last till May 17. Lockdownextention 
"
6,"Leaders who make people feel good about themselves and the work they have loyal employees life should alw 
"
7,"n't push your problems lead your dreams. SundayThoughts 
"
8,"Setup box 
"
9,"Wishing you very happy birthday one the talented and versatile actor sir 
"
10,"sure will check and thank for the immediate reply 
"
11,"Yes setup box 
"
12,"You be also congress bhakt both be same way 
"
13,"The size your success measure the strength your desire the size your dream and how you handle 
"
14,"Treat failure lesson how not approach achieve goal and then use that learn improve your chan 
"
15,"Success accident hard work perseverance learn study sacrifice and most all love what 
"
16,"n't give little patience dear Keep go Your time will come. Covid_19 
"
17,"Unemployment temporary Life unpredictable The person you reject today might need their help tomorrow 
"
18,"Finally watch Joker Movie One the best joker origin story have also some glimpse health Ledger joker 
"
19,"very difficult that the doctor who be fight now save the people and the 
"
20,"Now this look fun technology innovation game 
"
21,"Here extra help hand for cleaners tackle the COVID19 outbreak develop NTUsg researchers from the 
"
22,"totally true sir 
"
23,"Little Robot Waiters be super cute technology innovation 
"
24,"Micromanagement complete waste time you hire someone job then trust them get do 
"
25,"The symbol the fight against Corona make scatter the tricolor India the Matterhorn Mountain locate 
"
26,"first favorite player which saw first international final match Netwest Series 
"
27,"Everyone you meet fight battle you know nothing about kind Always Leadership 
"
28,"kind more important than right Many time what people need not brilliant mind that speak but 
"
29,"Succes Mantra 5You 've change with time Always try change yourself for good reason But never try chang 
"
30,"Sure will watch and thank for the the video 
"
31,"you plant HONESTY you will reap TRUSTIf you plant GOODNESS you will reap FRIENDSIf you plant HUMILITY 
"
32,"Succes Mantra 3.Encourage yourself matter whatsoever happen your life you fail every endeavour 
"
33,"Succes Mantra 2.Be always careful your life Whateveryou your life whether good bad everything reflect back you 
"
34,"Succes Mantra you want succeed your life then attain your inner strength you want achieve some 
"
35,"you will work your plan but there may some days when you have very little time available Dont let tho 
"
36,"Cause and effect mean and end seed and fruit can not sever for the effect already bloom the cause 
"
37,"Kabhi nahin dekha wij log hin aesa bolte aur koi nahin kyun hum roz dekh hai humko 
"
38,"How many people follow this message sir 
"
39,"Success the development the power with which get whatever one want life without interfere with the 
"
40,"Good cost for neede 
"
41,"What about other state police they be also do their Job 
"
42,"Expressing your true love mean you be live your life again and again only your true love which immort 
"
43,"True love eternal infinte and always like itself equal and pure without violent demonstrations 
"
44,"Love the only flower which shower you everything you need your life and your world. LoveIsLikeAFlower 
"
45,"the music love which bring you contentment and tranquility your world. LoveIsLikeMusic 
"
46,"True prayer love the culmination true heart and soul. LoveIsLikeaPrayer 
"
47,"the power love that hold your relation with your parent with your beloved with your relatives with you 
"
48,"The first person who teach you the mean the word Love will also the first person who teach you the mean the Pain 
"
49,"Belated happy birthday wish you great year with full laughter show 
"
50,"Without and doubt will join the call which our prime minister announce our greatest shree sir 
"
51,"One can dream can achieve success matter whatsoever uphill come his way Just have keep our dream hope and patience alive 
"
52,"Never bring BUT amp yor mnd when do smthng yor life Thse wrds sprout seed dubt yor 
"
53,"n't lose your hearts and hop You will see one day you should achieve your goal Just keep your patience and 
"
54,"Sleep investment the energy you need effective tomorrow Good night friends 
"
55,"Your goal should specific measurable attainable realistic and timely Goal 
"
56,"Intellectual capacity highly correlate with commitment lifelong learn 
"
57,"Ohh aesa hai toh future bhi bolne liyen bol kab jayega karke Corona Vires 
"
58,"Bolti band gayi abhi uski yeh sab log media report deti hai 
"
59,"You be really hero for every country person every time you be donate amount that 
"
60,"Because rich people n't like poor smell and they be not respect poor people for that the reason kill him 
"
61,"from India drive for uber moto can expect any pay from the company due lockdown 
"
62,"Happy Birthday 
"
63,"because be not good listener and this type situation have rise our level for better situation come days 
"
64,"Yeh apne aapko professor tag diye hai konse boli yeh professor lag rahen hai aur dusra yeh AAP 
"
65,"Aapko har baat buri lagti hai bhi BJP hon aaj idiot bol diyen samajh yeh idiot hin new 
"
66,"Yes totally agree only one 
"
67,"Mano mano hin sher aur woh hai hamare desh pradhan mantriji unhone kahan aur pure desh saath diya 
"
68,"Mera Bharath Mahan Vande Matram Bharath Mata Jay aaj jhuth hai Bharath isko koi nahin tod Sakta hum sab 
"
69,"Yes be sir and proud part JantaCurfewChallenge 
"
70,"Good one sir raeesmenia 
"
71,"CoronaStopKaroNa IndiaFightsCorona 
"
72,"SoniaGandhi HappyHoli 
"
73,"This really Chokars Finals Semi-finalsBut ICC trophy for India men women since 2014 T20WorldCup 
"
74,"India will never big tournament final because they be miss hungary which do when his play still 
"
75,"Now today again this chokars from world T20 final AUSvIND WorldCupFinal 
"
76,"Aap logo ticket deta kon hai desh chalane liyen 
"
77,"Woh kaam hin aesa karte hai sir warna kisi shok nahin hota kisi criticize karne 
"
78,"Yeh video tukde tukde gang dikhao police chilla hai aur police danga karne wale bolte hai 
"
79,"Congratulations the Indian Women team reach the final All the best for the final game bri 
"
