,Target tweets
0,"There Nothing Like You Were n't Big Club Before 1990. What 
"
1,"What Called Era For Reason Stop Playing Dumb 
"
2,"Stop Twisting What You Started. I Say Again Not All Those Trophi 
"
3,"And Complain When The Boy Comes Out Struggling 
"
4,"Who Fucking Cares Lol. It Facts Y'all Have More Ucl And Liga 
"
5,"Stop Acting DumbIn Much Madrid Has The Ucl And Laliga Pose For 
"
6,"Water Wet The Sky Blue Real Madrid Have Always Been Mischievous And Not Even New 
"
7,"Cuppy Making Like The Colour And Fucking Hate 
"
8,"Guy You 're Mad Aswear n't Like Light All 
"
9,"Even Lights Shined Face Fucking Despise It. Says Alot About Avi 
"
10,"BroThe North Not Made Hausas Alone 
"
11,"Telling You.Now Know Not Alone This 
"
12,"Man. M Just Getting The Jerk Honestly Thought The Only One This 
"
13,"Bruhh. I n't Lights The Night Man Fucking Hate 
"
14,"Guy You 're This Alone. But Never Knew People Are These Many These 
"
15,"Abeg 
"
16,"You Know These Things 
"
17,"Duddde 've Been Struggling With ThisMade Mum Really Worried She Started Talking About How Evil 
"
18,"Fucking Same Here 
"
19,"Tomorrow Sha Everywhere Dae Cloudy 
"
20,"Fit But Just Guy. E Get Why 
"
21,"NigggaWe Dae This Table Ahh Tehh You 
"
22,"Bruh 
"
23,"Saying That Because Shit Have Happened 
"
24,"Lmfaoooooo 
"
25,"Last Year Was Sha. It Will For Like Years Straight Changing 
"
26,"Abeg And Sallah Saturday 
"
27,"Mind The Things You Say 
"
28,"Abeg Help Ask Her Again 
"
29,"YoooLmfaooo 
"
30,"Facts Tho. Do n't Get High And Giving Unnecessary Emotions 
"
31,"Has Babymamas Lol 
"
32,"Saying That Figuratively. Stop Trippin 
"
33,"For Real Bruh 
"
34,"LmaoSame Here 
"
35,"Lmao.RT Keep Getting Lit 
"
36,"Thanks Man. Niggga Litt 
"
37,"Lil Durk Good 
"
38,"Lmao 
"
39,"That Red Lit Tho 
"
40,"Bruhh 
"
41,"Always Have Mind Every Day 
"
42,"That Red Hair 
"
43,"Tehh You Man. It Follow Come 
"
44,"Matter What Takes 
"
45,"Lol. Abeg Shout They Need Hear Well 
"
46,"Lmao.Your Energy Always 
"
47,"Tackling MascheranoStrength KompanySpeed VaraneHeading Puyol Leadership Puyol 
"
48,"Lmfaoooo 
"
49,"Capppp. The Taste Enhances The Next DayI Legit Have Observed 
"
50,"Lmfao. The Best Ones Are Yet Surface Believe 
"
51,"Question Why Henderson Included There Lmao 
"
52,"Allow 
"
53,"She Does n't Know. She Belongs The Streets 
"
54,"Allow Abeg 
"
55,"Lmfaooo 
"
56,"That True Sha.But Get Sexually Attracted Lady Chances Are Might Just Smash 
"
57,"She Say She Wan Eat Sushi Gave Her Enough Shopping 
"
58,"For Real Man. Just Live The Life Now And Live The Rest For Whatsoever Holds 
"
59,"Lmao. This New OneNot Gon Lie 
"
60,"Lol. You Never Experience One 
"
61,"Honestly Not Feeling This New Twitter Update 
"
62,"From There Can Actually Lead Very Sensible Relationship.It Happens 
"
63,"Sensible NAks 
"
64,"LolGuy Just Never 
"
65,"Nawa 
"
66,"You 're Single And You 're Getting Laid Actually The Best Relationship Status 
"
67,"Yeah Right. Was Same Condition Days Back Mum Did Wrong Said Some Regrettable Words Her But 
"
68,"King Kendrick And Cole World The World n't Ready 
"
69,"All Freaky And Sexy Until You Flip That Cushion 
"
70,"Stop Getting Hyped UpYou 'll 
"
71,"Legit 
"
72,"Lmfaooo.She Said Good Dick Lightening Cream 
"
73,"YeaaahhMorocco Too.But Freaky For 
"
74,"NaahDo n't Know Yet. Bout Hiding The Comment Section Wack 
"
75,"This New Twitter Update Wack 
"
76,"This Relatable 
"
77,"Lol.That Guy n't There For Jokes 
"
78,"Lmao.Do n't Die Yet 
"
79,"Lol.Relatable 
"
80,"But Matter The Amoun 
"
81,"Great 
"
